Ref,Val,Package,PosX,PosY,Rot,Side
"D2","LED","LED_0201_0603Metric",172.345000,-66.500000,0.000000,top
"HC-SR501","~","HC-SR501",130.430000,-102.140000,0.000000,top
"J1","Conn_Shielded_Pair","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",170.420000,-50.500000,0.000000,top
"K1","Relay_SPDT","Relay_DPDT_FRT5_SMD",155.780000,-86.080000,0.000000,top
"LA1","Lamp","LED_Cree-XP",176.500000,-60.000000,0.000000,top
"Q1","BC547","TO-92_Inline",164.730000,-70.860000,0.000000,top
"R1","LDR03","R_LDR_10x8.5mm_P7.6mm_Vertical",169.000000,-109.500000,0.000000,top
"R2","10kΩ","R_0201_0603Metric",175.180000,-73.500000,0.000000,top
"R3","220Ω","R_0201_0603Metric",173.155000,-80.000000,0.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",137.950000,-78.600000,0.000000,top
"U2","DHT11","Aosong_DHT11_5.5x12.0_P2.54mm",166.500000,-87.000000,0.000000,top
"U3","LM7805_TO220","TO-220-3_Vertical",160.000000,-109.445000,180.000000,top
