"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"D2","1","LED","","","","LED_SMD:LED_0201_0603Metric","~"
"HC-SR501","1","~","","","","Downloads:HC-SR501",""
"J1","1","Conn_Shielded_Pair","","","","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~"
"K1","1","Relay_SPDT","","","","Relay_SMD:Relay_DPDT_FRT5_SMD","~"
"LA1","1","Lamp","","","","LED_SMD:LED_Cree-XP","~"
"Q1","1","BC547","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R1","1","LDR03","","","","OptoDevice:R_LDR_10x8.5mm_P7.6mm_Vertical","http://www.elektronica-componenten.nl/WebRoot/StoreNL/Shops/61422969/54F1/BA0C/C664/31B9/2173/C0A8/2AB9/2AEF/LDR03IMP.pdf"
"R2","1","10kΩ","","","","Resistor_SMD:R_0201_0603Metric","~"
"R3","1","220Ω","","","","Resistor_SMD:R_0201_0603Metric","~"
"U1","1","ESP32-WROOM-32","","","","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf"
"U2","1","DHT11","","","","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm","http://akizukidenshi.com/download/ds/aosong/DHT11.pdf"
"U3","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
